Check_Ave,Date,Item_Count,Location,Sub-total
0.4,9/19/2017,4360,HDC,"1,771.87"
6.49,9/19/2017,1065,THC,"1,672.08"
7.59,9/19/2017,1594,Passport,"5,719.52"
14.38,9/19/2017,471,Cellar,"1,946.07"
6.96,9/19/2017,1201,Tylers,"4,617.77"
5.43,9/19/2017,223,Dean's Den,591.4
6.16,9/19/2017,2389,ETC,"7,415.42"
4.01,9/19/2017,1941,8:15,"5,071.24"
7.73,9/20/2017,2340,Passport,"8,014.86"
7.49,9/20/2017,2824,Tylers,"10,968.26"
6.19,9/20/2017,1069,ETC,"3,114.00"
7.41,9/20/2017,1316,THC,"2,178.24"
0.45,9/20/2017,1018,HDC,470
4.23,9/20/2017,2182,8:15,"5,752.79"
6.18,9/20/2017,1260,Lou's,"4,137.49"
14.84,9/20/2017,1044,Cellar,"4,613.37"
5.82,9/20/2017,295,Dean's Den,862.01
1.41,9/20/2017,8,Post Office,8.43
12.03,9/21/2017,46,Post Office,503.83
4.19,9/21/2017,1567,8:15,"4,128.19"
5.73,9/21/2017,956,Lou's,"3,181.88"
0.43,9/21/2017,4023,HDC,"1,752.79"
7.4,9/21/2017,1404,Tylers,"5,538.68"
6.13,9/21/2017,2495,ETC,"7,442.79"
5.21,9/21/2017,44,Stadium West,146
13.78,9/21/2017,715,Cellar,"2,815.29"
5.07,9/21/2017,286,Dean's Den,816.48
7.31,9/21/2017,1740,Passport,"5,651.75"
6.72,9/21/2017,1185,THC,"2,045.53"
14.86,9/22/2017,511,Cellar,"1,961.07"
0,9/22/2017,,Stadium West,0
5.92,9/22/2017,2009,ETC,"5,710.81"
7.61,9/22/2017,1466,Passport,"4,862.25"
6.87,9/22/2017,1044,THC,"1,846.53"
14.51,9/22/2017,24,Post Office,332.07
7.69,9/22/2017,1257,Tylers,"4,881.11"
5.77,9/22/2017,446,Lou's,"1,411.47"
3.99,9/22/2017,710,8:15,"1,753.43"
0.48,9/22/2017,3259,HDC,"1,584.88"
8.11,9/23/2017,2331,Stadium East,"8,309.00"
0.63,9/23/2017,2806,HDC,"1,769.01"
8.5,9/23/2017,3140,Stadium West,"11,285.00"
13.77,9/23/2017,909,Cellar,"3,667.12"
4.3,9/23/2017,471,8:15,"1,267.24"
7.4,9/23/2017,381,Passport,"1,207.06"
6.68,9/23/2017,1500,ETC,"4,883.19"
14.73,9/24/2017,754,Cellar,"3,250.72"
5.55,9/24/2017,256,Dean's Den,721.98
6.71,9/24/2017,2320,ETC,"7,145.24"
8.06,9/24/2017,829,Tylers,"3,388.02"
4.16,9/24/2017,1798,8:15,"4,692.44"
0.48,9/24/2017,3114,HDC,"1,475.50"
0.39,9/25/2017,4334,HDC,"1,698.97"
7.94,9/25/2017,39,Post Office,316
7.26,9/25/2017,1302,Tylers,"5,189.93"
5.96,9/25/2017,994,Lou's,"3,393.66"
14.27,9/25/2017,484,Cellar,"2,052.55"
7.26,9/25/2017,1894,Passport,"5,803.98"
6.31,9/25/2017,2801,ETC,"8,268.90"
6.1,9/25/2017,375,Dean's Den,988.38
4.03,9/25/2017,2238,8:15,"5,798.29"
7,9/25/2017,1302,THC,"1,940.38"
5.76,9/26/2017,323,Dean's Den,905.08
5.82,9/26/2017,1122,Lou's,"3,606.59"
0.65,9/26/2017,4449,HDC,"2,844.34"
