Check_Ave,Date,Item_Count,Location,Sub-total
6.73,10/1/2017,2274,ETC,"6,874.91"
14.04,10/1/2017,804,Cellar,"3,385.19"
4.1,10/1/2017,1785,8:15,"4,731.84"
6.42,10/1/2017,340,Dean's Den,969.4
102.81,10/2/2017,47,Post Office,"4,007.41"
6.1,10/2/2017,1160,Lou's,"3,907.27"
7.28,10/2/2017,1354,Tylers,"5,422.07"
14.2,10/2/2017,658,Cellar,"2,403.87"
7.04,10/2/2017,1855,Passport,"5,936.54"
5.49,10/2/2017,375,Dean's Den,970.94
4.08,10/2/2017,2280,8:15,"5,982.90"
6.23,10/2/2017,2650,ETC,"8,180.63"
7.35,10/3/2017,1715,Passport,"5,804.66"
16.54,10/3/2017,547,Cellar,"2,455.98"
5.88,10/3/2017,2479,ETC,"7,446.99"
4.09,10/3/2017,2323,8:15,"6,050.77"
7.38,10/3/2017,1379,Tylers,"5,535.87"
5.85,10/3/2017,324,Dean's Den,894.03
6.05,10/3/2017,1219,Lou's,"3,928.12"
13.25,10/3/2017,54,Post Office,606.69
5.72,10/4/2017,36,Post Office,200.12
4.01,10/4/2017,2128,8:15,"5,467.89"
5.87,10/4/2017,1091,Lou's,"3,465.36"
12.48,10/4/2017,734,Cellar,"3,480.45"
6.09,10/4/2017,2503,ETC,"7,577.10"
6.89,10/4/2017,1287,Tylers,"4,893.11"
7.01,10/4/2017,1798,Passport,"6,009.63"
5.32,10/4/2017,311,Dean's Den,818.81
6.17,10/5/2017,2639,ETC,"7,892.81"
13.32,10/5/2017,654,Cellar,"2,544.62"
5.36,10/5/2017,328,Dean's Den,910.35
11.51,10/5/2017,23,Post Office,252.11
5.77,10/5/2017,933,Lou's,"2,963.26"
7.07,10/5/2017,1285,Tylers,"5,082.54"
7.19,10/5/2017,1673,Passport,"5,267.88"
6.3,10/5/2017,52,Concessions,170
4.11,10/5/2017,1576,8:15,"4,138.68"
8.49,10/6/2017,33,Post Office,228.03
7.69,10/6/2017,1134,Tylers,"4,469.72"
6.17,10/6/2017,2153,ETC,"6,704.59"
7.45,10/6/2017,1351,Passport,"4,310.27"
13.49,10/6/2017,660,Cellar,"2,635.75"
4.21,10/6/2017,752,8:15,"1,916.24"
5.69,10/6/2017,409,Lou's,"1,331.69"
7.44,10/7/2017,1870,Concessions,"6,387.00"
4.08,10/7/2017,526,8:15,"1,377.97"
6.45,10/7/2017,1821,ETC,"5,660.12"
7.5,10/7/2017,2333,Concessions,"8,079.00"
14.56,10/7/2017,925,Cellar,"3,516.34"
8.09,10/7/2017,544,Passport,"1,562.42"
4.09,10/8/2017,1813,8:15,"4,773.92"
8.14,10/8/2017,749,Tylers,"3,240.38"
14.27,10/8/2017,822,Cellar,"3,291.53"
5.73,10/8/2017,332,Dean's Den,940.31
7.36,10/8/2017,130,Concessions,434
6.77,10/8/2017,2530,ETC,"7,519.46"
6.19,10/9/2017,1283,Lou's,"4,166.36"
6.04,10/9/2017,390,Dean's Den,"1,062.47"
7.33,10/9/2017,147,Post Office,226.04
4.15,10/9/2017,2284,8:15,"5,885.30"
7.33,10/9/2017,1301,Tylers,"5,259.95"
13.51,10/9/2017,459,Cellar,"1,959.81"
6.14,10/9/2017,2749,ETC,"8,269.59"
7.2,10/9/2017,1855,Passport,"5,847.34"
4.17,10/10/2017,2316,8:15,"6,003.76"
5.88,10/10/2017,2764,ETC,"8,013.52"
15.62,10/10/2017,500,Cellar,"2,028.84"
5.77,10/10/2017,1222,Lou's,"3,834.79"
5.35,10/10/2017,364,Dean's Den,"1,005.86"
7.63,10/10/2017,1392,Tylers,"5,644.54"
18.8,10/10/2017,147,Post Office,582.58
7.42,10/10/2017,1784,Passport,"5,823.37"
5.76,10/11/2017,1144,Lou's,"3,703.29"
5.35,10/11/2017,461,Dean's Den,"1,070.34"
20.97,10/11/2017,30,Post Office,523.79
7.15,10/11/2017,1842,Passport,"5,942.30"
7.29,10/11/2017,1393,Tylers,"5,567.99"
4.17,10/11/2017,2233,8:15,"5,787.98"
13.15,10/11/2017,767,Cellar,"3,276.04"
6.31,10/11/2017,2952,ETC,"8,685.94"
7.26,10/12/2017,1274,Tylers,"4,920.06"
7.23,10/12/2017,1602,Passport,"5,026.55"
6.51,10/12/2017,2605,ETC,"7,773.02"
4.25,10/12/2017,1523,8:15,"4,038.22"
14.45,10/12/2017,553,Cellar,"2,245.59"
6.06,10/12/2017,178,Concessions,564
6.31,10/12/2017,336,Dean's Den,"1,014.90"
5.76,10/12/2017,822,Lou's,"2,630.77"
12.94,10/12/2017,27,Post Office,309.24
6.55,10/13/2017,199,Lou's,699.98
7.38,10/13/2017,31,Post Office,205.07
4.68,10/13/2017,498,8:15,"1,300.44"
9.29,10/13/2017,2236,ETC,"7,012.30"
7.03,10/13/2017,1079,Passport,"3,189.44"
7.75,10/13/2017,1067,Tylers,"4,344.47"
5.52,10/16/2017,10,ETC,32.08
8.74,10/16/2017,1473,Tylers,"5,774.93"
5.02,10/16/2017,350,8:15,957.75
13.15,10/16/2017,26,Post Office,263.03
10.56,10/17/2017,34,Post Office,284.06
8.14,10/17/2017,1819,ETC,"5,824.08"
8.31,10/17/2017,1406,Tylers,"5,590.89"
4.58,10/17/2017,753,8:15,"1,973.68"
6.06,10/18/2017,345,Dean's Den,926.23
10.8,10/18/2017,28,Post Office,289.88
6.34,10/18/2017,1208,Lou's,"3,790.72"
7.2,10/18/2017,1229,Tylers,"4,889.22"
