Date,Location,Check_Ave,Sales,Item_Count,Year
10/8,Concessions,7.36,434,130,1718
10/8,ETC,6.77,"7,519.46",2530,1718
10/9,Lou's,6.19,"4,166.36",1283,1718
10/9,Dean's Den,6.04,"1,062.47",390,1718
10/9,Post Office,7.33,226.04,147,1718
10/9,8:15,4.15,"5,885.30",2284,1718
10/9,Tylers,7.33,"5,259.95",1301,1718
10/9,Cellar,13.51,"1,959.81",459,1718
10/9,ETC,6.14,"8,269.59",2749,1718
10/9,Passport,7.2,"5,847.34",1855,1718
10/10,8:15,4.17,"6,003.76",2316,1718
10/10,ETC,5.88,"8,013.52",2764,1718
10/10,Cellar,15.62,"2,028.84",500,1718
10/10,Lou's,5.77,"3,834.79",1222,1718
10/10,Dean's Den,5.35,"1,005.86",364,1718
10/10,Tylers,7.63,"5,644.54",1392,1718
10/10,Post Office,18.8,582.58,147,1718
10/10,Passport,7.42,"5,823.37",1784,1718
10/11,Lou's,5.76,"3,703.29",1144,1718
10/11,Dean's Den,5.35,"1,070.34",461,1718
10/11,Post Office,20.97,523.79,30,1718
10/11,Passport,7.15,"5,942.30",1842,1718
10/11,Tylers,7.29,"5,567.99",1393,1718
10/11,8:15,4.17,"5,787.98",2233,1718
10/11,Cellar,13.15,"3,276.04",767,1718
10/11,ETC,6.31,"8,685.94",2952,1718
10/12,Tylers,7.26,"4,920.06",1274,1718
10/12,Passport,7.23,"5,026.55",1602,1718
10/12,ETC,6.51,"7,773.02",2605,1718
10/12,8:15,4.25,"4,038.22",1523,1718
10/12,Cellar,14.45,"2,245.59",553,1718
10/12,Concessions,6.06,564,178,1718
10/12,Dean's Den,6.31,"1,014.90",336,1718
10/12,Lou's,5.76,"2,630.77",822,1718
10/12,Post Office,12.94,309.24,27,1718
10/13,Lou's,6.55,699.98,199,1718
10/13,Post Office,7.38,205.07,31,1718
10/13,8:15,4.68,"1,300.44",498,1718
10/13,ETC,9.29,"7,012.30",2236,1718
10/13,Passport,7.03,"3,189.44",1079,1718
10/13,Tylers,7.75,"4,344.47",1067,1718
10/16,ETC,5.52,32.08,10,1718
10/16,Tylers,8.74,"5,774.93",1473,1718
10/16,8:15,5.02,957.75,350,1718
10/16,Post Office,13.15,263.03,26,1718
10/17,Post Office,10.56,284.06,34,1718
10/17,ETC,8.14,"5,824.08",1819,1718
10/17,Tylers,8.31,"5,590.89",1406,1718
10/17,8:15,4.58,"1,973.68",753,1718
10/18,Dean's Den,6.06,926.23,345,1718
10/18,Post Office,10.8,289.88,28,1718
10/18,Lou's,6.34,"3,790.72",1208,1718
10/18,Tylers,7.2,"4,889.22",1229,1718
10/18,Cellar,15.56,"2,715.00",665,1718
10/18,Passport,7.22,"5,335.73",1705,1718
10/18,ETC,6.72,"8,504.30",2756,1718
10/18,8:15,4.01,"5,133.50",1981,1718
10/19,8:15,4.1,"3,960.13",1518,1718
10/19,Tylers,7.38,"5,027.07",1274,1718
10/19,ETC,6.04,"8,217.87",2713,1718
10/19,Passport,7.15,"5,970.83",1849,1718
10/19,Cellar,15.29,"2,588.16",654,1718
10/19,Lou's,6.36,"3,457.78",1048,1718
10/19,Dean's Den,5.37,837,296,1718
10/19,Post Office,12.9,489.17,41,1718
10/19,Concessions,0,0,,1718
